Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
SEM1,,,,,,,
,1. MACHINE LEARNING (AIMLC ZG565),,,,,,
,,"Books	",,,,,
,,,Bishop - Pattern Recognition And Machine Learning - Springe file,https://github.com/workaholic2002x/AIML-Course/blob/main/Sem1/1.%20MACHINE%20LEARNING/Books/R1%20%20Bishop%20-%20Pattern%20Recognition%20And%20Machine%20Learning%20-%20Springer%20%202006.pdf,https://tinyurl.com/25ftvbwp,,
,,,Introduction to Data Mining file, www.example.com,,,
,,,Elements of Statistical Learning file,https://tinyurl.com/24gghbwk,,,
,,,svm_tutorial file,https://tinyurl.com/22vn3z25,,,
,,"Lectures PPT	",,,,,
,,,All Lectures pdf file,https://tinyurl.com/2abnd5z4,,,
,,,Class materials zip file,https://tinyurl.com/26snw5bb,,,
,,,,,,,
,,Lecture Videos (Sec-A),,,,,
,,,Lecture-1,https://youtu.be/y1x2I35_v0A,,,
,,,Lecture-2,https://youtu.be/5fkUwivmOeY,,,
,,,Lecture-3,https://youtu.be/ycpWqy3NO5E,,,
,,,Lecture-4,https://youtu.be/9rjWSrxagp4,,,
,,,Lecture-5,https://youtu.be/QnbxObLtgDU,,,
,,,Lecture-6,https://youtu.be/eR1nx_UJpXU,,,
,,,Lecture-7,https://youtu.be/zrjOadM59S4,,,
,,,Lecture-8,https://youtu.be/BwHXyVAjtCA,,,
,,,Lecture-9,https://youtu.be/3ZZaLwABSWg,,,
,,,Lecture-10,https://youtu.be/pXRNTIKjMYU,,,
,,,Lecture-11,https://youtu.be/xX11zSa15Vc,,,
,,,Lecture-12,https://youtu.be/8a0y6QxeKTA,,,
,,,Lecture-13,https://youtu.be/k0nGYPGQBzo,,,
,,,Lecture-14,https://youtu.be/89M1SPlm08o,,,
,,,Web-1,https://youtu.be/O0mT_cw4mv8,,,
,,,Web-2,https://youtu.be/wEE7DEfNKY4,,,
,,,,,,,
,,"Lecture Videos (Sec-B)	",,,,,
,,,Lecture-1,https://youtu.be/kS1-_zxEQPQ,,,
,,,Lecture-2,https://youtu.be/aPjGjt9NmGk,,,
,,,Lecture-3,https://youtu.be/NmmmWdKMP3E,,,
,,,Lecture-4,https://youtu.be/QGv_cSCeQ20,,,
,,,Lecture-5,https://youtu.be/f-RzFxncIKM,,,
,,,Lecture-6,https://youtu.be/nBUsHM7FXTA,,,
,,,Lecture-7,https://youtu.be/B4kMPWb85zA,,,
,,,Lecture-8,https://youtu.be/r9jCZxnocjE,,,
,,,Lecture-9,https://youtu.be/aCWOoOn2LJU,,,
,,,Lecture-10,https://youtu.be/FIvrhMOcVLM,,,
,,,Lecture-11,https://youtu.be/nl6uKJ3NeI0,,,
,,,Lecture-12,https://youtu.be/1_X7MTM8WEA,,,
,,,Lecture-13,https://youtu.be/7L-yQL0ET9c,,,
,,,Lecture-14,https://youtu.be/PcNGyJWR_m0,,,
,,,Lecture-15,https://youtu.be/SEUDng9jsBQ,,,
,,,Lecture-16,https://youtu.be/7e5TUVdXQ-8,,,
,,,Web-1,https://youtu.be/QiiWewio2M0,,,
,,,Web-2,https://youtu.be/P1JB-Iz-SA8,,,
,,,Web-3,https://youtu.be/lhfwXEg0K8s,,,
,,,Web-4,https://youtu.be/xoKpjG9YExQ,,,
,"		",,,,,,
,2. ARTIFICIAL & COMP INTELLIGENCE (AIMLC ZG557),,,,,,
,,"Books	",,,,,
,,,Artificial and Computational Intelligence.pdf file,https://tinyurl.com/24gok62c,,,
,,,Artificial Intelligence_ A Modern Approach… file,https://tinyurl.com/2cvdg435,,,
,,,,,,,
